City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
276,carnarvon,AU,69.87,clear sky,-24.8667,113.6333,
278,katangli,RU,56.35,overcast clouds,51.7102,143.2326,
279,avera,US,66.7,clear sky,33.194,-82.5271,
282,saint-augustin,CA,55.26,overcast clouds,51.226,-58.6502,
283,komsomolskiy,UZ,68.72,clear sky,40.4272,71.7189,
287,uhlove,UA,63.57,scattered clouds,44.8215,33.6045,
293,gravdal,NO,51.57,overcast clouds,68.1214,13.5031,
295,guerrero negro,MX,69.57,clear sky,27.9769,-114.0611,
297,balykshi,KZ,53.6,mist,47.0667,51.8667,
300,mocuba,MZ,67.57,clear sky,-16.8392,36.9856,
306,concepcion del uruguay,AR,62.85,clear sky,-32.4825,-58.2372,
308,whitianga,NZ,61.02,light rain,-36.8333,175.7,
309,kambove,CD,66.47,overcast clouds,-10.8764,26.5969,
313,tonj,SS,68.52,scattered clouds,7.2737,28.6822,
316,praia da vitoria,PT,68.25,broken clouds,38.7333,-27.0667,
317,fenelon falls,CA,56.8,overcast clouds,44.5334,-78.7496,
318,kalamare,BW,64.65,clear sky,-22.9337,26.5703,
319,raudeberg,NO,63.27,overcast clouds,61.9875,5.1352,
324,pirdop,BG,51.93,scattered clouds,42.7,24.1833,
326,muros,ES,68.23,light rain,42.7762,-9.0603,
327,sawtell,AU,66.22,overcast clouds,-30.3833,153.1,
328,fort saint james,CA,51.71,broken clouds,54.4333,-124.25,
331,saint andrews,US,66.97,clear sky,34.0454,-81.1293,
335,limbach-oberfrohna,DE,62.89,moderate rain,50.8667,12.75,
336,wendo,ET,54.77,scattered clouds,6.6,38.4167,
337,thunder bay,CA,51.57,clear sky,48.4001,-89.3168,
339,inongo,CD,68.52,light rain,-1.95,18.2667,
341,eureka,US,63.79,broken clouds,40.8021,-124.1637,
344,mount darwin,ZW,61.05,clear sky,-16.7725,31.5838,
345,capao bonito,BR,59.41,broken clouds,-24.0058,-48.3494,
346,kamsack,CA,57.65,broken clouds,51.5667,-101.9009,
347,magdagachi,RU,54.84,broken clouds,53.45,125.8,
349,roma,US,58.86,overcast clouds,43.2128,-75.4557,
350,pimentel,PE,64.15,broken clouds,-6.8367,-79.9342,
351,russell,US,69.4,clear sky,32.3502,-85.1999,
356,brandfort,ZA,62.01,clear sky,-28.7001,26.4597,
359,le port,RE,69.8,few clouds,-20.9373,55.2919,
360,puerto madryn,AR,51.67,clear sky,-42.7692,-65.0385,
364,cooma,AU,56.97,scattered clouds,-36.2333,149.1333,
366,fort-shevchenko,KZ,63.86,overcast clouds,44.5086,50.263,
367,sechura,PE,65.55,clear sky,-5.5569,-80.8222,
371,masyaf,SY,68.32,scattered clouds,35.0653,36.3406,
372,minudasht,IR,58.57,clear sky,37.2289,55.3747,
373,kwinana,AU,65.93,broken clouds,-32.25,115.7667,
376,broken hill,AU,69.51,clear sky,-31.95,141.4333,
381,saint-francois,FR,53.04,mist,46.4154,3.9054,
382,hun,LY,67.89,clear sky,29.1268,15.9477,
386,port hawkesbury,CA,68.18,mist,45.6169,-61.3485,
388,marquette,US,54.77,scattered clouds,46.5333,-87.6335,
392,olden,NO,58.91,broken clouds,61.8364,6.8064,
393,causapscal,CA,53.94,overcast clouds,48.3542,-67.227,
396,nosy varika,MG,65.62,scattered clouds,-20.5833,48.5333,
